iter	RMSE
222	89029.54079
223	88993.88091
224	88939.17518
225	88901.53744
226	88858.57732
227	88818.09576
228	88774.80008
229	88770.58511
230	88725.23969
231	88692.00456
232	88600.02306
233	88560.07015
234	88519.35136
235	88486.7679
236	88433.91819
237	88430.05804
238	88368.80682
239	88301.75342
240	88299.95013
241	88281.97015
242	88255.58314
243	88226.44398
244	88173.03764
245	88121.66795
246	88070.69139
247	87985.67893
248	87919.80553
249	87893.11465
250	87879.29942
251	87805.24384
252	87767.53521
253	87752.63377
254	87708.70107
255	87637.11334
256	87575.58704
257	87544.96699
258	87454.12123
259	87389.14581
260	87348.02642
261	87311.17158
262	87299.83988
263	87253.37695
264	87229.08274
265	87191.32394
266	87177.83617
267	87175.13298
268	87155.52245
269	87120.0757
270	87083.60258
271	87047.133
272	87009.97723
273	87001.3446
274	86954.56798
275	86889.35534
276	86828.96103
277	86808.41885
278	86792.0355
279	86720.21583
280	86701.86304
281	86676.5424
282	86601.23079
283	86552.28372
284	86501.16418
285	86494.75251
286	86459.77185
287	86439.48945
288	86372.84106
289	86327.6089
290	86288.03775
291	86279.0418
292	86230.29863
293	86212.0067
294	86175.44021
295	86163.93661
296	86103.75015
297	86083.06739
298	86053.95144
299	86022.43655
300	85983.79499
301	85969.86885
302	85890.47548
303	85889.63216
304	85846.54627
305	85807.11583
306	85767.69809
307	85757.47684
308	85732.03715
309	85692.52976
310	85636.76764
311	85602.12218
312	85551.26166
313	85534.12068
314	85524.52061
315	85485.19621
316	85448.51941
317	85397.38914
318	85357.65193
319	85325.0646
320	85302.99053
321	85282.27221
322	85277.83844
323	85227.8642
324	85193.27224
325	85172.05478
326	85166.68278
327	85157.27985
328	85148.46594
329	85098.79257
330	85066.52582
331	85033.72435
332	85021.23624
333	85009.76829
334	85009.32587
335	84996.99596
336	84968.47808
337	84945.99067
338	84932.80318
339	84930.37975
340	84876.97334
341	84873.12515
342	84843.45477
343	84839.75283
344	84833.76571
345	84830.71219
346	84778.68343
347	84751.92258
348	84748.37457
349	84738.12812
350	84721.40222
351	84701.72443
352	84674.89963
353	84663.79462
354	84654.15734
355	84619.94499
356	84586.20866
357	84578.11992
358	84555.2309
359	84548.92088
360	84545.62821
361	84518.06035
362	84486.04403
363	84463.13534
364	84423.67904
365	84420.7311
366	84366.25423
367	84332.29034
368	84323.48555
369	84287.18728
370	84266.19869
371	84220.84711
372	84203.2111
373	84160.21754
374	84139.62668
375	84121.98959
376	84109.57496
377	84092.37058
378	84048.2469
379	84015.84703
380	83981.17902
381	83949.00558
382	83943.88794
383	83936.01742
384	83918.9861
385	83891.08873
386	83888.39957
387	83861.89905
388	83857.11211
389	83828.05663
390	83809.48773
391	83806.09763
392	83791.87676
393	83782.85828
394	83760.343
395	83727.89746
396	83708.35212
397	83658.75786
398	83657.8001
399	83655.3308
400	83654.6994
401	83627.90808
402	83586.46754
403	83552.18673
404	83521.16175
405	83512.51749
406	83486.64764
407	83437.85864
408	83418.44978
409	83407.1803
410	83380.26434
411	83377.74445
412	83342.42748
413	83313.87386
414	83308.44388
415	83285.07984
416	83281.54454
417	83272.14991
418	83238.41389
419	83213.36073
420	83191.00781
421	83147.26104
422	83143.81939
423	83126.61041
424	83109.30746
425	83088.5343
426	83074.96832
427	83046.43808
428	83015.10224
429	82995.49548
430	82972.15759
431	82930.84855
432	82921.48783
433	82900.21292
434	82886.74387
435	82846.98497
436	82818.75115
437	82773.41157
438	82762.02237
439	82725.21933
440	82714.81944
441	82687.62809
442	82660.91522
443	82640.85876
444	82626.56836
445	82601.11867
446	82570.15564
447	82553.97229
448	82543.83887
449	82525.90176
450	82508.3747
451	82471.05822
452	82462.56274
453	82439.01727
454	82418.8553
455	82389.57197
456	82336.44508
457	82304.19576
458	82275.10585
459	82258.0888
460	82240.17207
461	82227.85667
462	82219.13458
463	82184.65843
464	82156.04751
465	82151.45441
466	82126.06443
467	82118.53153
468	82099.71384
469	82066.73998
470	82049.2693
471	82044.59481
472	82009.62913
473	81991.38421
474	81980.28723
475	81961.3146
476	81949.94172
477	81939.63358
478	81921.93003
479	81906.72259
480	81882.5574
481	81869.44512
482	81853.71555
483	81839.91978
484	81813.20863
485	81808.76211
486	81802.78207
487	81798.34202
488	81795.36483
489	81774.9143
490	81755.36901
491	81750.35486
492	81731.61429
493	81709.14631
494	81704.82644
495	81693.97818
496	81669.84151
497	81641.15105
498	81636.23096
499	81615.4006
500	81575.89482
501	81558.06635
502	81527.61376
503	81513.78883
504	81502.68057
505	81477.52036
506	81431.76036
507	81414.56037
508	81370.0653
509	81363.98394
510	81360.603
511	81335.82617
512	81324.82552
513	81315.48219
514	81300.76681
515	81281.76348
516	81248.96364
517	81217.79861
518	81195.17576
519	81192.05182
520	81164.4902
521	81146.68128
522	81146.02668
523	81142.00947
524	81123.80465
525	81095.31826
526	81054.87865
527	81017.33472
528	80998.17213
529	80986.73403
530	80960.78033
531	80928.81164
532	80911.94011
533	80885.81994
534	80845.83697
535	80836.91968
536	80819.22091
537	80783.21309
538	80774.96053
539	80741.87827
540	80723.62749
541	80697.66833
542	80682.07794
543	80662.97676
544	80635.03366
545	80631.0029
546	80626.69953
547	80600.21832
548	80581.42006
549	80560.33406
550	80549.29727
551	80514.19888
552	80481.5653
553	80471.39265
554	80444.35009
555	80425.86305
556	80405.94185
557	80384.16768
558	80375.01654
559	80349.18261
560	80330.62696
561	80315.09128
562	80303.62959
563	80283.54369
564	80276.45915
565	80256.93732
566	80242.78855
567	80223.25936
568	80195.11265
569	80184.97864
570	80165.3402
571	80156.53556
572	80134.2225
573	80113.59548
574	80086.09782
575	80052.6032
576	80038.02281
577	80023.92178
578	80003.15108
579	79982.40984
580	79962.16205
581	79952.90639
582	79934.20459
583	79922.63989
584	79908.65462
585	79880.71949
586	79872.73158
587	79854.70632
588	79851.67756
589	79824.42952
590	79803.20236
591	79782.27713
592	79764.05027
593	79746.00692
594	79730.50697
595	79689.25215
596	79682.09261
597	79678.30305
598	79646.03557
599	79629.99703
600	79613.25948
601	79593.47832
602	79556.25099
603	79546.01541
604	79526.47305
605	79512.7865
606	79501.36471
607	79494.27549
608	79474.11401
609	79452.2513
610	79433.24998
611	79410.38473
612	79388.83519
613	79387.27821
614	79374.71872
615	79361.72025
616	79355.66017
617	79348.14785
618	79327.79056
619	79303.57955
620	79283.57236
621	79261.88775
622	79245.93236
623	79207.90792
624	79178.40318
625	79171.74797
626	79166.87221
627	79144.79225
628	79135.25423
629	79115.87392
630	79094.85946
631	79077.37132
632	79055.92299
633	79035.12094
634	79015.26664
635	78998.3433
636	78970.83296
637	78955.47917
638	78939.35494
639	78922.22655
640	78907.24165
641	78891.76434
642	78887.64512
643	78886.4327
644	78873.66782
645	78855.40894
646	78849.66172
647	78832.46515
648	78816.91258
649	78790.54658
650	78778.86571
651	78755.34261
652	78742.6602
653	78709.66586
654	78700.92123
655	78697.37671
656	78679.00429
657	78666.87017
658	78651.96838
659	78630.51816
660	78615.74468
661	78613.23219
662	78605.63961
663	78583.75305
664	78566.41038
665	78548.19057
666	78532.87295
667	78522.22907
668	78514.1431
669	78496.03239
670	78494.23932
671	78460.5344
672	78446.22404
673	78442.42756
674	78427.94323
675	78413.1271
676	78396.91029
677	78379.86528
678	78360.14063
679	78343.89535
680	78333.90772
681	78309.1969
682	78298.50003
683	78280.94572
684	78262.73546
685	78261.73272
686	78249.95246
687	78234.15888
688	78212.47758
689	78205.81962
690	78198.74169
691	78195.41011
692	78184.38587
693	78157.72111
694	78146.07974
695	78134.11991
696	78126.87333
697	78104.52227
698	78071.84584
699	78058.63225
700	78041.2861
701	78020.54948
702	78013.73698
703	77991.07202
704	77978.79886
705	77967.27432
706	77957.61152
707	77949.66725
708	77921.69451
709	77901.04394
710	77878.31378
711	77856.96041
712	77839.86352
713	77821.82603
714	77803.22412
715	77793.87626
716	77779.22833
717	77767.96139
718	77748.63234
719	77730.75322
720	77717.87271
721	77713.33214
722	77694.39438
723	77688.23827
724	77675.89046
725	77663.1763
726	77655.06397
727	77646.35265
728	77644.36475
729	77632.26781
730	77624.37773
731	77622.46128
732	77603.30153
733	77591.01213
734	77578.70445
735	77575.45756
736	77561.30652
737	77549.8016
738	77532.47415
739	77518.49391
740	77505.92029
741	77491.33635
742	77490.20485
743	77481.10064
744	77462.99186
745	77447.03696
746	77439.48173
747	77427.18478
748	77407.71335
749	77397.35191
750	77384.31857
751	77377.12846
752	77365.10595
753	77350.411
754	77337.99728
755	77332.13379
756	77317.23037
757	77304.52638
758	77295.16166
759	77286.46846
760	77279.177
761	77260.44487
762	77250.64573
763	77249.37822
764	77235.42906
765	77226.8032
766	77220.60268
767	77212.50642
768	77195.85074
769	77186.6548
770	77173.35277
771	77164.11036
772	77161.91064
773	77140.69809
774	77126.80279
775	77120.07217
776	77106.90019
777	77088.122
778	77076.4865
779	77071.96389
780	77062.06197
781	77051.26919
782	77046.74364
783	77038.89704
784	77037.29133
785	77023.01225
786	77016.55011
787	77006.16232
788	76993.58
789	76979.38091
790	76972.98912
791	76961.31479
792	76960.78399
793	76948.18842
794	76928.72438
795	76912.74073
796	76908.74584
797	76898.76131
798	76892.3162
799	76875.6945
800	76863.7156
801	76853.85082
802	76842.84423
803	76831.52377
804	76819.24742
805	76796.89022
806	76765.53877
807	76752.0259
808	76744.44753
809	76734.48894
810	76731.92011
811	76722.39732
812	76714.58328
813	76706.3745
814	76676.01049
815	76670.94931
816	76662.2364
817	76660.86265
818	76639.74172
819	76635.65522
820	76628.64883
821	76608.83461
822	76603.33068
823	76591.1514
824	76572.06922
825	76560.65489
826	76539.79142
827	76532.44721
828	76519.72249
829	76505.08
830	76494.15301
831	76491.41582
832	76475.06934
833	76461.33312
834	76450.26752
835	76434.85607
836	76423.9611
837	76407.42135
838	76399.4032
839	76387.56984
840	76383.65774
841	76364.55054
842	76355.22161
843	76355.11129
844	76343.44614
845	76334.3331
846	76323.65226
847	76313.31007
848	76307.53562
849	76290.97526
850	76289.38159
851	76286.14016
852	76277.89936
853	76277.33275
854	76273.41946
855	76254.01597
856	76247.59906
857	76228.99124
858	76214.75748
859	76209.21686
860	76202.18554
861	76190.9605
862	76183.07297
863	76173.94827
864	76156.78449
865	76145.33643
866	76144.25157
867	76137.93844
868	76128.00467
869	76118.43261
870	76108.69268
871	76100.95903
872	76094.97156
873	76079.03843
874	76066.67115
875	76057.31069
876	76049.45565
877	76037.29518
878	76023.80518
879	76013.49339
880	76011.38927
881	76006.95636
882	75992.58847
883	75980.20451
884	75974.24402
885	75966.51345
886	75941.57895
887	75926.17626
888	75896.57958
889	75888.74689
890	75873.25892
891	75872.54256
892	75859.75652
893	75858.90011
894	75849.0279
895	75839.9537
896	75832.82336
897	75815.59302
898	75807.98285
899	75796.6458
900	75787.71829
901	75775.57025
902	75772.19206
903	75758.13806
904	75744.80242
905	75736.16158
906	75723.30171
907	75712.16073
908	75698.8529
909	75687.31323
910	75672.51355
911	75664.44533
912	75654.62211
913	75647.16956
914	75620.56588
915	75612.25613
916	75601.79455
917	75587.31758
918	75574.0167
919	75570.61491
920	75546.32904
921	75531.28172
922	75516.09048
923	75507.47991
924	75499.55091
925	75474.83341
926	75457.79359
927	75443.98567
928	75434.09856
929	75420.00376
930	75411.59899
931	75408.42789
932	75406.05986
933	75387.77058
934	75371.75629
935	75366.1279
936	75358.92893
937	75355.68684
938	75332.30248
939	75325.96606
940	75310.61555
941	75296.56343
942	75290.28771
943	75271.92621
944	75262.18202
945	75251.27936
946	75240.53348
947	75234.13098
948	75219.4449
949	75201.56553
950	75199.23831
951	75187.44693
952	75180.74751
953	75155.48608
954	75140.76273
955	75130.89857
956	75117.54708
957	75097.5388
958	75085.66687
959	75068.94061
960	75063.73223
961	75045.48129
962	75030.02915
963	75013.58911
964	75005.54037
965	74999.44581
966	74981.2976
967	74970.2082
968	74951.10276
969	74947.86251
970	74927.11013
971	74906.24858
972	74893.18308
973	74878.46953
974	74866.97171
975	74842.4611
976	74837.77549
977	74825.03429
978	74810.61727
979	74804.23282
980	74790.85039
981	74779.0706
982	74767.10513
983	74758.389
984	74748.27462
985	74741.99887
986	74735.83593
987	74726.98149
988	74718.37052
989	74713.82449
990	74699.9191
991	74687.46218
992	74677.40852
993	74676.72436
994	74673.57926
995	74660.39824
996	74646.83384
997	74632.66517
998	74625.63024
999	74608.50328
