iter	Passed	Remaining
166	808	4031
167	811	4021
168	815	4010
169	819	4000
170	823	3992
171	827	3981
172	830	3972
173	835	3967
174	839	3958
175	844	3955
176	849	3949
177	853	3942
178	858	3936
179	862	3928
180	867	3927
181	872	3921
182	876	3913
183	880	3906
184	884	3896
185	888	3887
186	892	3878
187	896	3870
188	900	3862
189	904	3853
190	907	3845
191	911	3837
192	915	3828
193	919	3819
194	923	3811
195	927	3804
196	931	3795
197	934	3786
198	938	3778
199	943	3772
200	948	3769
201	953	3766
202	958	3762
203	962	3757
204	967	3753
205	972	3749
206	978	3747
207	982	3742
208	987	3738
209	992	3734
210	997	3730
211	1002	3726
212	1007	3721
213	1011	3716
214	1016	3712
215	1021	3708
216	1025	3700
217	1029	3693
218	1035	3694
219	1040	3688
220	1044	3682
221	1048	3675
222	1053	3669
223	1057	3662
224	1060	3654
225	1065	3649
226	1069	3642
227	1074	3637
228	1078	3632
229	1082	3622
230	1086	3616
231	1090	3610
232	1094	3603
233	1098	3596
234	1102	3588
235	1106	3582
236	1111	3577
237	1114	3566
238	1117	3557
239	1121	3550
240	1124	3542
241	1129	3537
242	1133	3529
243	1136	3521
244	1140	3515
245	1144	3508
246	1148	3502
247	1152	3495
248	1156	3487
249	1159	3479
250	1163	3471
251	1167	3464
252	1171	3458
253	1174	3450
254	1178	3443
255	1182	3436
256	1186	3430
257	1190	3423
258	1194	3417
259	1198	3410
260	1202	3404
261	1206	3398
262	1210	3392
263	1214	3385
264	1218	3379
265	1222	3372
266	1226	3366
267	1230	3360
268	1234	3353
269	1238	3348
270	1243	3344
271	1247	3338
272	1251	3333
273	1255	3326
274	1258	3319
275	1262	3312
276	1275	3328
277	1278	3321
278	1283	3315
279	1287	3309
280	1290	3302
281	1294	3295
282	1300	3293
283	1303	3286
284	1307	3280
285	1311	3273
286	1314	3266
287	1318	3258
288	1322	3253
289	1326	3246
290	1329	3239
291	1333	3233
292	1337	3227
293	1341	3220
294	1345	3214
295	1349	3208
296	1353	3202
297	1356	3196
298	1361	3191
299	1365	3185
300	1369	3181
301	1373	3175
302	1378	3170
303	1382	3164
304	1386	3159
305	1391	3154
306	1395	3149
307	1399	3144
308	1403	3139
309	1407	3133
310	1412	3128
311	1416	3124
312	1421	3121
313	1426	3115
314	1429	3109
315	1433	3103
316	1437	3097
317	1441	3091
318	1445	3085
319	1448	3079
320	1452	3072
321	1456	3066
322	1460	3060
323	1465	3057
324	1469	3053
325	1474	3047
326	1477	3041
327	1481	3035
328	1485	3029
329	1489	3023
330	1493	3018
331	1497	3012
332	1500	3006
333	1504	2999
334	1508	2993
335	1512	2988
336	1516	2984
337	1521	2979
338	1525	2975
339	1529	2969
340	1533	2963
341	1536	2956
342	1541	2951
343	1544	2946
344	1548	2940
345	1552	2934
346	1556	2928
347	1560	2922
348	1564	2918
349	1567	2911
350	1571	2905
351	1575	2900
352	1578	2894
353	1582	2887
354	1586	2882
355	1590	2877
356	1594	2871
357	1597	2865
358	1601	2859
359	1606	2855
360	1610	2850
361	1615	2846
362	1620	2844
363	1625	2840
364	1630	2836
365	1635	2833
366	1640	2830
367	1645	2826
368	1650	2821
369	1655	2818
370	1660	2814
371	1664	2810
372	1669	2806
373	1674	2802
374	1678	2797
375	1683	2793
376	1688	2789
377	1692	2784
378	1699	2784
379	1705	2782
380	1710	2778
381	1714	2773
382	1718	2768
383	1722	2762
384	1725	2756
385	1729	2751
386	1743	2760
387	1747	2756
388	1751	2750
389	1755	2745
390	1759	2739
391	1762	2733
392	1766	2728
393	1770	2722
394	1773	2717
395	1777	2711
396	1781	2705
397	1784	2699
398	1788	2694
399	1792	2688
400	1796	2682
401	1799	2677
402	1803	2671
403	1806	2665
404	1810	2660
405	1814	2654
406	1818	2649
407	1822	2644
408	1826	2639
409	1830	2634
410	1834	2628
411	1837	2623
412	1842	2618
413	1846	2614
414	1851	2610
415	1856	2605
416	1860	2601
417	1865	2597
418	1871	2594
419	1876	2591
420	1882	2589
421	1887	2585
422	1893	2582
423	1898	2578
